,words,rating,tips,tips_code,steps,step_code,tips_groups,tips_groups_code
138,anonymity results from processing personal data in order to irreversibly prevent identification,4,fact,208,facts,4,fact,56
139,another coke please my love,4,"positivebias,feeling,activity,person,what,where,when,thismany,positive,realistic",476,"facts,proposals,emotions",13,"feeling,unprecise,positivebias,realistic,positive",84
140,anyone that messes with my favorite person will be obliterated,1,positivebias,461,"facts,emotions",5,positivebias,131
141,anyway i never find anything i understand,2,"generalisation,morality,selfempathy",327,facts,4,"feeling,judgemental",75
142,it s not my fault he was a bully and did not know how to handle it,1,"sacrifice,reproach",606,facts,4,fault,63
143,anyway you do not understand anything,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
144,anyway you re always too tired for that,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
145,anyway he s your favorite,2,"generalisation,reproach",334,facts,4,"judgemental,fault",89
146,anyway it s your life,2,"generalisation,morality",322,facts,4,judgemental,87
147,anyway we ve had this discussion a million times before it s not going anywhere as usual,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
148,anyway you ll never admit your wrongdoings,1,"generalisation,morality",322,facts,4,judgemental,87
149,anyway young people today do not want to do anything,0,"generalisation,morality",322,facts,4,judgemental,87
150,arabic etymology considers that the word arab derives from the verb to express,4,fact,208,facts,4,fact,56
151,arabs are all thieves,1,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
152,arabs are terrorists,1,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
153,are angels male or female ?,4,clarity,86,proposals,18,empathy,11
154,are emotionally charged environments difficult for you ?,4,"clarity,empathy",89,proposals,18,empathy,11
155,are search engines and subscribers receiving your content ?,4,clarity,86,proposals,18,empathy,11
156,are some of the items nice to haves ?,4,clarity,86,proposals,18,empathy,11
157,are there aliens in the universe ?,5,clarity,86,proposals,18,empathy,11
158,are there any action games on facebook ?,5,clarity,86,proposals,18,empathy,11
159,are there any beaches in bhutan ?,5,clarity,86,proposals,18,empathy,11
160,are there any billionaires in japan ?,5,clarity,86,proposals,18,empathy,11
161,are there any billionaires in the world ?,5,clarity,86,proposals,18,empathy,11
162,are there any black lions in the world ?,5,clarity,86,proposals,18,empathy,11
163,are there any fees ?,5,clarity,86,proposals,18,empathy,11
164,are there any free dating sites ?,5,clarity,86,proposals,18,empathy,11
165,are there any free movies on iphone ?,5,clarity,86,proposals,18,empathy,11
166,are there any free movies on youtube ?,5,clarity,86,proposals,18,empathy,11
167,are there any rules i should know about ?,5,clarity,86,proposals,18,empathy,11
168,are there any special events ?,5,clarity,86,proposals,18,empathy,11
169,are there beaches in nepal ?,5,clarity,86,proposals,18,empathy,11
170,are there bears in scotland ?,5,clarity,86,proposals,18,empathy,11
171,are there black lions ?,5,clarity,86,proposals,18,empathy,11
172,are there calories in coffee ?,5,clarity,86,proposals,18,empathy,11
173,are there eagles in hong kong ?,5,clarity,86,proposals,18,empathy,11
174,are there electric generators ?,5,clarity,86,proposals,18,empathy,11
175,are there elephants at london zoo ?,5,clarity,86,proposals,18,empathy,11
176,are there elephants in sri lanka ?,5,clarity,86,proposals,18,empathy,11
177,are there fish in the dead sea ?,5,clarity,86,proposals,18,empathy,11
178,are there flying spiders ?,5,clarity,86,proposals,18,empathy,11
179,are there ghosts in the world ?,5,clarity,86,proposals,18,empathy,11
180,are there great white sharks in norway ?,5,clarity,86,proposals,18,empathy,11
181,are there gypsies in canada ?,5,clarity,86,proposals,18,empathy,11
182,are there humans in other galaxies ?,5,clarity,86,proposals,18,empathy,11
183,are there hummingbirds in japan ?,5,clarity,86,proposals,18,empathy,11
184,are there icebergs in lake winnipeg ?,5,clarity,86,proposals,18,empathy,11
185,are there jaguars in the uk ?,5,clarity,86,proposals,18,empathy,11
186,are there jobs in the usa ?,5,clarity,86,proposals,18,empathy,11
187,are there kangaroos in australia ?,5,clarity,86,proposals,18,empathy,11
188,are there kangaroos in new zealand ?,5,clarity,86,proposals,18,empathy,11
189,are there koalas in australia ?,5,clarity,86,proposals,18,empathy,11
190,are there lions in india ?,5,clarity,86,proposals,18,empathy,11
191,are there mermaids ?,5,clarity,86,proposals,18,empathy,11
192,are there mountains in california ?,5,clarity,86,proposals,18,empathy,11
193,are there multiple universes ?,5,clarity,86,proposals,18,empathy,11
194,are there nuclear weapons in india ?,5,clarity,86,proposals,18,empathy,11
195,are there orphanages in the usa ?,5,clarity,86,proposals,18,empathy,11
196,are there other galaxies ?,5,clarity,86,proposals,18,empathy,11
197,are there other solar systems ?,5,clarity,86,proposals,18,empathy,11
198,are there other universes ?,5,clarity,86,proposals,18,empathy,11
199,are there penguins in africa ?,5,clarity,86,proposals,18,empathy,11
200,are there poisonous fish in the ocean ?,5,clarity,86,proposals,18,empathy,11
201,are there polar bears in alaska ?,5,clarity,86,proposals,18,empathy,11
202,are there prophets today ?,5,clarity,86,proposals,18,empathy,11
203,are there real vampires ?,5,clarity,86,proposals,18,empathy,11
204,are there reviews on pediatric doctors ?,5,clarity,86,proposals,18,empathy,11
205,are there sharks in turkey ?,5,clarity,86,proposals,18,empathy,11
206,do you think about them at night ?,5,"clarity,empathy",89,proposals,18,empathy,11
207,are there tigers in india ?,5,clarity,86,proposals,18,empathy,11
208,are there tigers in thailand ?,5,clarity,86,proposals,18,empathy,11
209,are there underground cities in america ?,5,clarity,86,proposals,18,empathy,11
210,are there volcanoes in japan ?,5,clarity,86,proposals,18,empathy,11
211,are there vultures in sri lanka ?,5,clarity,86,proposals,18,empathy,11
212,are there walruses in england ?,5,clarity,86,proposals,18,empathy,11
213,are there whales in the gulf of mexico ?,5,clarity,86,proposals,18,empathy,11
214,are there white butterflies ?,5,clarity,86,proposals,18,empathy,11
215,are there white elephants ?,5,clarity,86,proposals,18,empathy,11
216,are there white lions ?,5,clarity,86,proposals,18,empathy,11
217,are there white peacocks in jaffna ?,5,clarity,86,proposals,18,empathy,11
218,are there white people in africa ?,5,clarity,86,proposals,18,empathy,11
219,are there wild animals ?,5,clarity,86,proposals,18,empathy,11
220,are there wolves in california ?,5,clarity,86,proposals,18,empathy,11
221,are you a fool or a psycho ?,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
222,are you a parent ?,5,clarity,86,proposals,18,empathy,11
223,are you afraid i ll find out about your fantasies and not like them ?,3,"clarity,empathy",89,proposals,18,empathy,11
224,are you afraid of missing our plane and you d like the airport shuttle to be faster ?,5,"clarity,empathy",89,proposals,18,empathy,11
225,are you afraid to be punished if i say that ?,4,"clarity,empathy",89,proposals,18,empathy,11
226,are you afraid to try because you do not want to fail ?,5,"clarity,empathy",89,proposals,18,empathy,11
227,are you afraid to try ?,4,"clarity,empathy",89,proposals,18,empathy,11
228,are you afraid you wo not fall asleep if you go to bed right away ?,4,"clarity,empathy",89,proposals,18,empathy,11
229,are you alone in bed ?,4,clarity,86,proposals,18,empathy,11
230,are you frustrated because you want respect and to be heard ?,5,"clarity,empathy",89,proposals,18,empathy,11
231,are you angry because you wish he was more present ?,5,"clarity,empathy",89,proposals,18,empathy,11
232,are you angry because you would like my government to use its resources differently ?,5,"clarity,empathy",89,proposals,18,empathy,11
233,are you angry ?,5,"clarity,empathy",89,proposals,18,empathy,11
234,are you annoyed that there is no fear of punishment for the girls who get pregnant these days ?,4,"clarity,empathy",89,proposals,18,empathy,11
235,are you annoyed with my interrupting because you would have liked to continue the conversation ?,4,"clarity,empathy",89,proposals,18,empathy,11
236,are you astonished to realise that people are getting pregnant these days without any consideration for reputation consequences financial stability all the things you used to consider ?,4,"clarity,empathy",89,proposals,18,empathy,11
237,are you available in the next days for a discussion ?,4,"activity,action,person,objective,where,time,howmany,positive,realistic",6,proposals,18,"realistic,positive,precise",170
238,are you aware that this kind of behaviour cannot be accepted ?,1,clarity,86,proposals,18,empathy,11
239,are you discouraged ?,5,"empathy,dialogue",185,proposals,18,empathy,11
240,are you even aware of your own stupidity ?,0,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
241,are you exhausted and want to get some rest ?,5,"clarity,empathy",89,proposals,18,empathy,11
242,are you experiencing similar feelings to those i mentioned ? is there anything you like about what i said ?,5,"clarity,empathy",89,proposals,18,empathy,11
243,are you fed up not getting the respect that you want ?,4,"clarity,empathy",89,proposals,18,empathy,11
244,are you feeling alarmed because you d like kids to have stable families ?,4,"dialogue,empathy",162,proposals,18,empathy,11
245,are you feeling angry wanting respect and to be heard ?,5,"dialogue,empathy",162,proposals,18,empathy,11
246,are you feeling annoyed and wanting to see a different quality of care ?,5,"dialogue,empathy",162,proposals,18,empathy,11
247,are you feeling annoyed because you would have liked some sign from me that indicated that i have some problems with the process myself ?,4,"dialogue,empathy",162,proposals,18,empathy,11
248,are you feeling frustrated because you would like me to admit that there can be other ways of interpreting this matter ?,5,"dialogue,empathy",162,proposals,18,empathy,11
249,are you feeling frustrated ?,5,"dialogue,empathy",162,proposals,18,empathy,11
250,are you feeling frustrated ? it appears that you might have had some bad experiences with jewish people is it ?,4,"clarity,empathy",89,proposals,18,empathy,11
251,are you feeling hurt and need to know that you are loved ?,5,"dialogue,empathy,need",163,"proposals,needs",22,"empathy,need",33
252,are you feeling hurt because i said that ?,4,"dialogue,empathy",162,proposals,18,empathy,11
253,are you feeling hurt because i said that ?,4,"dialogue,empathy",162,proposals,18,empathy,11
254,are you feeling hurt because you need more consideration for your preferences ?,5,"dialogue,empathy,need",163,"proposals,needs",22,"empathy,need",33
255,are you feeling hurt because you would have liked more appreciation of your efforts than you received ?,5,"dialogue,empathy",162,proposals,18,empathy,11
256,are you feeling reassured about that or would you like more reassurance that your opportunity to be heard will come soon ?,5,"dialogue,empathy",162,proposals,18,empathy,11
257,are you feeling sad and wanting to be held ?,5,"dialogue,empathy",162,proposals,18,empathy,11
258,are you feeling sad because you need more calm ?,5,"dialogue,empathy,need",163,"proposals,needs",22,"empathy,need",33
259,are you feeling scared because you have a need to protect your family economically ?,4,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
260,are you feeling unconfortable because you re needing some time alone ?,5,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
261,are you unhappy because you need to be heard ?,5,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
262,admit that you like to be the centre of attention in society,5,"clarity,empathy",89,proposals,18,empathy,11
263,go and suck cocks,0,"unsolicited,provocation",710,facts,4,"provocation,unsolicited",151
264,are you fucking insane ?,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
265,are you gay ? are you a nigger ? are you a gay nigger ? then the gay nigger association of america is right for you give me your money,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
266,are you going to correct me every time i say a sentence or what ?,1,clarity,86,proposals,18,empathy,11
267,are you going to keep on shouting like that at the slightest annoyance ?,1,clarity,86,proposals,18,empathy,11
268,are you going to opt for joint custody ?,4,clarity,86,proposals,18,empathy,11
269,are you going to the dance tonight ?,4,clarity,86,proposals,18,empathy,11
270,are you hurt because you wish you had gotten more recognition for your efforts ?,5,empathy,176,proposals,18,empathy,11
271,are you in stupid mode or does this come naturally ?,0,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
272,are you kidding me ?,1,clarity,86,proposals,18,empathy,11
273,are you kidding me ?,1,clarity,86,proposals,18,empathy,11
274,are you kidding me ? that s insulting low,0,clarity,86,proposals,18,empathy,11
275,are you nervous about the organization and would you like your daughter s future in laws to be more aware of the complications their indecision is creating for you ?,5,clarity,86,proposals,18,empathy,11
276,are you okay walking with me ?,5,clarity,86,proposals,18,empathy,11
277,are you okay with it ?,5,"dialogue,empathy",162,proposals,18,empathy,11
278,are you reacting like this because i did this ?,4,"clarity,empathy",89,proposals,18,empathy,11
279,are you reacting to how many evenings i was gone last week ?,5,"clarity,empathy",89,proposals,18,empathy,11
280,are you reacting to my having taken thirty straight minutes to present my views before giving you a chance to talk ?,4,"clarity,empathy",89,proposals,18,empathy,11
281,are you reacting to my not having said anything about how the process can be difficult for some people to apply ?,4,"clarity,empathy",89,proposals,18,empathy,11
282,are you reacting to what i told you yesterday ?,5,clarity,86,proposals,18,empathy,11
283,are you reading something about teenage pregnancies in the paper ?,4,clarity,86,proposals,18,empathy,11
284,are you really that afraid ?,1,"labelling,morality",393,facts,4,judgemental,87
285,are you really that stupid ?,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
286,are you a retard ? fucking stupid,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
287,are you sad that she s having to pay so much for her mistake ?,4,"dialogue,empathy",162,proposals,18,empathy,11
288,are you saying that you are surprised at how much his behaviour upsets you ?,5,"clarity,empathy",89,proposals,18,empathy,11
289,are you saying that you are upset because you want us to respect your ability to understand things ?,5,"clarity,empathy",89,proposals,18,empathy,11
290,are you saying that you feel hurt because you need your preferences to be better taken into account ?,5,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
291,are you saying that you feel responsible for the fact that maxim is having a hard time ?,4,"dialogue,empathy",162,proposals,18,empathy,11
292,are you saying you d like more understanding and fairer treatment for what you do ?,4,"dialogue,empathy",162,proposals,18,empathy,11
293,are you saying you re feeling annoyed because you want respect for your ability to understand things ?,4,"dialogue,empathy",162,proposals,18,empathy,11
294,are you saying will that you are disgusted with the teachers and you want them to change some things they do ?,4,"clarity,empathy",89,proposals,18,empathy,11
295,are you scared and needing to know that you will be safe if you go there ?,4,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
296,are you scared there ll be harsh consequences if you admit to taking the car and you want to trust that you ll be treated justly ?,4,"clarity,empathy",89,proposals,18,empathy,11
297,are you scared to try because you don t want to fail ?,4,"clarity,empathy",89,proposals,18,empathy,11
298,are you serious ?,2,"unavailable,reproach",632,facts,4,fault,63
299,are you serious ? i hope no,1,"unavailable,reproach",632,facts,4,fault,63
300,are you still licking your wounds ?,0,"unsolicited,provocation",710,facts,4,"provocation,unsolicited",151
301,are you stupid or what ?,0,"unavailable,reproach",632,facts,4,fault,63
302,are you stupid ? i did not do anything wrong,0,"unavailable,reproach",632,facts,4,fault,63
303,are you suggesting will that you would like to have a room to send people to if they bother other students ?,4,"clarity,empathy",89,proposals,18,empathy,11
304,are you sure you re in your right mind ?,1,"labelling,reproach",406,facts,4,"judgemental,fault",89
305,are you surprised to see this ?,5,"clarity,empathy",89,proposals,18,empathy,11
306,are you telling me that you do not dare to consider this ?,4,"clarity,empathy",89,proposals,18,empathy,11
307,are you telling me that you feel hurt because you need more consideration for your preferences ?,5,"empathy,dialogue,need",187,"proposals,needs",22,"empathy,need",33
308,are you telling me that you need to be treated fairly ?,5,"empathy,dialogue,need",187,"proposals,needs",22,"empathy,need",33
309,are you that stupid or am i getting smarter ?,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
310,are you tired of accusing me ?,1,"unsolicited,reproach",728,facts,4,"fault,unsolicited",66
311,are you tired of hearing things that do not help you in these situations ?,5,"clarity,empathy",89,proposals,18,empathy,11
312,are you upset ?,5,"dialogue,empathy",162,proposals,18,empathy,11
313,would you have liked a different quality of care ?,5,"clarity,empathy",89,proposals,18,empathy,11
314,are you wanting me to help you ?,4,"clarity,empathy",89,proposals,18,empathy,11
315,are you wanting me to tell you my reasons for saying what i did ?,5,"clarity,empathy",89,proposals,18,empathy,11
316,are you willing to take my hand ?,5,"clarity,empathy",89,proposals,18,empathy,11
317,are you willing to tell me what you re feeling and needing right now instead of what you think i am ?,5,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
318,are you willing to turn around ?,4,"clarity,empathy",89,proposals,18,empathy,11
319,are you with this person ?,4,clarity,86,proposals,18,empathy,11
320,are you worried about it ?,5,"dialogue,empathy",162,proposals,18,empathy,11
321,are you worried that you d be punished if you gave me accurate information ?,4,"dialogue,empathy",162,proposals,18,empathy,11
322,are not you a lazy person,1,"labelling,morality",393,facts,4,judgemental,87
323,are not you a liar,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
324,are not you fussy ?,1,"labelling,morality",393,facts,4,judgemental,87
