,id,en,fr,rating,tips,tips_groups,steps,fivefold,step_facts,step_emotions,step_needs,step_proposals,tip_morality,tip_positivebias,tip_interpretation,tip_comparison,tip_labelling,tip_generalisation,tip_duality,tip_reproach,tip_deserves,tip_denial,tip_sacrifice,tip_unavailable,tip_unsolicited,tip_provocation,tip_fact,tip_selfempathy,tip_empathy,tip_dialogue,tip_clarity,tip_activity,tip_demand,tip_person,tip_who,tip_location,tip_where,tip_time,tip_when,tip_action,tip_what,tip_objective,tip_why,tip_thismany,tip_howmany,tip_positive,tip_negative,tip_realistic,tip_unrealistic,tip_feeling,tip_need,group_empathy,group_negative,group_feeling,group_fault,group_unsolicited,group_need,group_realistic,group_precise,group_unprecise,group_unrealistic,group_provocation,group_positivebias,group_judgemental,group_demanding,group_fact,group_positive
11,11,A piece of my heart is missing when you’re not with me.,Un morceau de mon cœur manque quand tu n'es pas avec moi.,4,selfempathy,feeling,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,"A stranger offered me a large sum of money for a small favour, ","Un inconnu m'a proposé une grosse somme d'argent contre un petit service, ",4,fact,fact,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,13,"A thief, that's what you are.","Un voleur, voilà ce que tu es.",0,"labelling,reproach","judgemental,fault",facts,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14,14,"A trespasser, that's what you are.",Tu n'est qu'un intrus ici.,0,"labelling,reproach","judgemental,fault",facts,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15,15,"A variety of benefits were reported, including ""conversations and meetings were notably more efficient, with issues being resolved in 50-80 percent less time.","Divers avantages ont été signalés, notamment ""les conversations et les réunions étaient nettement plus efficaces, les problèmes étant résolus en 50 à 80 % moins de temps.",4,fact,fact,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,16,"A vibrating duck is a bath toy, right?","Un canard vibrant, c'est un jouet pour le bain, c'est ça ?",4,clarity,empathy,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,A woman doesn't have the balls to succeed in this business.,Une femme n'a pas les couilles qu'il faut pour réussir dans ce milieu.,0,"generalisation,morality",judgemental,facts,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,18,"About twenty years ago, our big game was to have sex at night in telephone booths.","Il y a une vingtaine d'années, notre grand jeu c'était de faire l'amour la nuit dans les cabines téléphoniques.",4,fact,fact,facts,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,19,"You're tall, you're strong, you mustn't think you've got tendencies because you play tennis with a faggot.","T'es grand, t'es fort, il ne faut pas que tu penses que tu as des tendances parce que tu joues au tennis avec un PD.",1,"morality,provocation","provocation,judgemental",facts,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,20,Abstract art is crap for snobs.,C'est de la merde pour snobs l'art abstrait.,1,"generalisation,provocation","provocation,judgemental",facts,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21,21,"According to the GPS, it will take us 1 hour to drive to our friends' house.","D'après le GPS, nous en aurons pour 1H de route pour aller chez nos amis.",4,fact,fact,facts,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,22,"According to this article, the volcanoes in Auvergne are not dangerous.","D'après cet article, les volcans d'Auvergne ne sont pas dangereux.",4,fact,fact,facts,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,23,"According to Wikipedia, Paris is the capital of France.","D'après Wikipédia, Paris est la capitale de la France.",4,fact,fact,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,24,"According to Wikipedia, potatoes are not vegetables.","D'après Wikipédia, les pommes de terre ne sont pas des légumes.",4,fact,fact,facts,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,25,"Act like you're shocked, Mr. Puritan.",Fais genre tu est choqué monsieur le puritain.,2,"labelling,reproach","judgemental,fault",facts,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,26,"Actually you prefer to cry alone, so...","En fait, tu préfères pleurer tout seul, très bien...",1,"interpretation,morality",judgemental,facts,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,27,"Actually, I'm gay.","En fait, je suis Gay.",4,fact,fact,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,28,"Actually, you're just a simple drunkard.","En fait, tu es un simple ivrogne.",0,"labelling,reproach","judgemental,fault",facts,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,29,Admit that you like to be the center of attention in society...,Avoue que tu aimes être le centre de l'attention en société...,1,"interpretation,morality",judgemental,facts,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,30,Admit your mistakes sometimes,Reconnais un peu tes erreurs des fois,2,"generalisation,reproach","judgemental,fault","facts,proposals",2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,31,After all I've done for you!,Après tout ce que j’ai fait pour toi !,1,"generalisation,reproach","judgemental,fault",facts,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,32,"After all of this time, I'm still so crazy for you.","Après tout ce temps, je suis toujours aussi folle de toi.",3,"positivebias,feeling","positivebias,feeling","facts,emotions",3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
33,33,"After all, you're nothing but a demon.","Tu n'es qu'un démon, rien d'autre.",0,"labelling,morality",judgemental,facts,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,34,"After dinner, I made sure that everything is ready for the next day.","Après le dîner, je m'assure que tout est prêt pour le lendemain.",4,"fact,selfempathy","fact,feeling",facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,35,"After finishing work, I go straight home.","Après avoir terminé le travail, je rentre à la maison.",4,fact,fact,facts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,36,From an experienced editor it's just shameful.,"De la part d'un rédacteur expérimenté, c'est tout simplement honteux.",0,"generalisation,reproach","judgemental,fault",facts,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,37,"After she started to vomit, she realised the food she ate for lunch was past its sell-by date.","Après avoir commencé à vomir, elle a réalisé que la nourriture qu'elle avait mangée pour le déjeuner était périmée.",4,fact,fact,facts,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,38,"After sleeping for twelve hours, I feel full of energy.",Après avoir dormi douze heures je me sens plein d'énergie.,4,"positivebias,selfempathy,feeling","positivebias,feeling","facts,emotions",3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,39,"After the long hot night we spent together, I feel exhausted.",Après la longue nuit torride que nous avons passé ensemble je me sens épuisée.,4,"positivebias,selfempathy,feeling","positivebias,feeling","facts,emotions",3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40,40,"After the one-week survey completion deadline, we will evaluate all the data and give you the general results including any action being taken or additional materials.","Après le délai d'une semaine pour remplir l'enquête, nous évaluerons toutes les données et vous donnerons les résultats généraux, y compris toute action entreprise ou tout matériel supplémentaire.",4,fact,fact,"facts,proposals",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,41,"After this dance, I'm full of energy.",Après cette danse je me sens plein d'entrain.,4,"positivebias,selfempathy,feeling","positivebias,feeling","facts,emotions",5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,42,"After this good news, I'm in a happy mood.",Après cette bonne nouvelle je me sens d'humeur joyeuse.,4,"positivebias,selfempathy,empathy","empathy,positivebias,feeling","facts,emotions",2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
43,43,"After this long talk, I'm tired and need to recharge.","Après cette longue discussion, je suis fatiguée et j'ai besoin de me ressourcer.",5,"positivebias,selfempathy,feeling,need","positivebias,need,feeling","facts,emotions",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
44,44,After this meal I feel full.,Après ce repas je me sens rassasié.,5,"positivebias,selfempathy,feeling","positivebias,feeling",facts,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,45,"After this spa treatment, I feel regenerated.",Après cette cure thermale je me sens comme régénérée.,5,"positivebias,selfempathy,feeling","positivebias,feeling","facts,emotions",4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
46,46,"After yesterday's argument, I feel defensive.","Après la dispute d'hier, je me sens sur la défensive.",4,"positivebias,selfempathy,feeling","positivebias,feeling","facts,emotions",3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
47,47,"After yesterday's events, I feel desperate.","Après les évenéments d'hier, je me sens desepérée.",5,"positivebias,selfempathy,feeling","positivebias,feeling","facts,emotions",3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
48,48,"Again, you're talking nonsense.","Encore une fois, tu dis des conneries.",1,"generalisation,provocation","provocation,judgemental",facts,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
49,49,Ah that's the one I was looking for Love kisses,Ah c'est celui là que je cherchais bisous d'amour,4,"positivebias,feeling","positivebias,feeling","facts,emotions",2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,50,"Ah, so adults can mess with kids whenever they want... They feel like they're the only ones who are right and know what to do...",Ah! que les adultes peuvent donc emmerder les jeunes quand ils le veulent... Ils ont l'impression d'être les seuls à avoir raison et à savoir ce qu'il faut faire...,1,"generalisation,provocation","provocation,judgemental",facts,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
51,51,All bitches,Toutes des salopes,0,"labelling,provocation","provocation,judgemental",facts,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,52,All I ever want is to make you happy.,"Tout ce que je veux, c'est te rendre heureux.",4,"positivebias,empathy","empathy,positivebias",facts,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,53,All I get is a lecture from you.,Tout ce à quoi j'ai le droit c'est que tu me fasse la morale.,2,"generalisation,reproach","judgemental,fault",facts,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,54,Is that asking too much?,Est-ce que c'est trop demander ?,1,"generalisation,reproach","judgemental,fault",facts,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,55,"All I want to do is spend my days being with you, laughing with you and adoring you.","Tout ce que je veux, c'est passer mes journées à être avec toi, à rire avec toi et à t'adorer.",4,"positivebias,feeling","positivebias,feeling",facts,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
56,56,All is well!,Tout va bien !,4,"positivebias,selfempathy","positivebias,feeling",facts,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
57,57,All my exes are crazy,tous mes ex sont fous,2,"labelling,morality",judgemental,facts,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,58,All my exes are crazy,toutes mes exs sont folles,2,"labelling,morality",judgemental,facts,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,59,All my friends play cricket.,Tous mes amis jouent au cricket.,3,generalisation,judgemental,facts,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,60,All of A. R. Rahman's songs became hits.,Toutes les chansons d'A. R. Rahman sont devenues des hits.,3,generalisation,judgemental,facts,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,61,All of MIA's songs became popular around the world.,Toutes les chansons de MIA sont devenues populaires dans le monde entier.,3,generalisation,judgemental,facts,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,62,All of them are brave.,Ils sont tous courageux.,3,positivebias,positivebias,facts,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,63,All of them are educated.,Ils sont tous éduqués.,3,generalisation,judgemental,facts,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,64,All of them went there.,Ils sont tous allés là.,3,generalisation,judgemental,facts,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,65,All of us are sinners.,Nous sommes tous des pécheurs.,2,"generalisation,morality",judgemental,facts,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,66,All of us learn from our failures.,Nous apprenons de nos échecs.,4,positivebias,positivebias,facts,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,67,All of us want to live as long as possible.,Nous voulons tous vivre le plus longtemps possible.,3,generalisation,judgemental,"facts,proposals",1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,68,All of you are babies.,Vous êtes tous des bébés.,1,"generalisation,reproach","judgemental,fault",facts,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
69,69,All of you are welcome.,Vous êtes tous les bienvenus.,4,empathy,empathy,facts,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
